PeakID (cmd=annotatePeaks.pl AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr13-38117	chr13	97739866	97904288	+	940.1	4.111	Intergenic	Intergenic	262077	NR_046157	328314	Mm.138047	NR_046157		Gm5086	B230311A21|EG328314	predicted gene 5086	ncRNA
chr2-28046	chr2	126584119	126682673	+	938.9	4.258	intron (NM_001271469, intron 3 of 3)	intron (NM_001271469, intron 3 of 3)	-14718	NM_008230	15186	Mm.18603	NM_008230	ENSMUSG00000027360	Hdc	AW108189|Hdc-a|Hdc-c|Hdc-e|Hdc-s	histidine decarboxylase	protein-coding
chr14-23429	chr14	77794406	77911479	+	938.5	3.989	exon (NM_025384, exon 3 of 6)	exon (NM_025384, exon 3 of 6)	21975	NM_025384	66148	Mm.248046	NM_025384	ENSMUSG00000022013	Dnajc15	1110003P16Rik|Dnajd1	DnaJ (Hsp40) homolog, subfamily C, member 15	protein-coding
chr16-32610	chr16	94546217	94699383	+	936.9	3.926	intron (NM_007890, intron 2 of 11)	intron (NM_007890, intron 2 of 11)	51893	NM_001113389	13548	Mm.310973	NM_007890	ENSMUSG00000022897	Dyrk1a	2310043O08Rik|D16Ertd272e|D16Ertd493e|Dyrk|ENSMUSG00000074897|Gm10783|Mnbh|Mp86|mmb	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1a	protein-coding
chr12-43619	chr12	80046810	80146839	+	931.4	3.607	Intergenic	MTEb|LTR|ERVL-MaLR	16189	NM_007564	12192	Mm.235132	NM_007564	ENSMUSG00000021127	Zfp36l1	AW742437|AW743212|Berg36|Brf1|D530020L18Rik|ERF1|TIS11b|cMG1	zinc finger protein 36, C3H type-like 1	protein-coding
chr15-48133	chr15	97742346	97849787	+	930.8	3.519	intron (NM_019572, intron 21 of 23)	intron (NM_019572, intron 21 of 23)	11701	NM_026353	67739	Mm.28955	NM_026353	ENSMUSG00000081534	Slc48a1	4930570C03Rik	solute carrier family 48 (heme transporter), member 1	protein-coding
chr1-53418	chr1	82787958	82878383	+	926.9	3.285	Intergenic	Intergenic	-6313	NM_010472	15463	Mm.392569	NM_010472	ENSMUSG00000026159	Agfg1	AU045498|C130049H11Rik|C85612|D730048C23Rik|Hrb|RAB|Rip	ArfGAP with FG repeats 1	protein-coding
chr17-32782	chr17	86615927	86753485	+	925.9	3.309	Intergenic	Intergenic	-69158	NM_010137	13819	Mm.1415	NM_010137	ENSMUSG00000024140	Epas1	HIF-2alpha|HIF2A|HLF|HRF|MOP2|bHLHe73	endothelial PAS domain protein 1	protein-coding
chr14-35552	chr14	73303802	73417018	+	924.5	3.105	Intergenic	Intergenic	24861	NM_008410	16432	Mm.4266	NM_008410	ENSMUSG00000022108	Itm2b	AI256040|Bri|Bri2|Bricd2b|D14Sel6|E25BMM|imBRI2	integral membrane protein 2B	protein-coding
chr11-74786	chr11	98898936	98971153	+	924.1	2.088	Intergenic	B2_Mm1a|SINE|B2	-2652	NM_009024	19401	Mm.439744	NM_009024	ENSMUSG00000037992	Rara	Nr1b1|RAR|RARalpha1	retinoic acid receptor, alpha	protein-coding
chr5-32010	chr5	37036585	37120243	+	922.0	1.513	intron (NM_178394, intron 1 of 12)	intron (NM_178394, intron 1 of 12)	27557	NM_178394	76071	Mm.85280	NM_178394	ENSMUSG00000063646	Jakmip1	5830437M04Rik|C330021K24Rik|Gababrbp|Marlin-1	janus kinase and microtubule interacting protein 1	protein-coding
chr3-42640	chr3	89858891	89923945	+	922.0	2.243	intron (NM_010559, intron 1 of 9)	intron (NM_010559, intron 1 of 9)	21744	NM_010559	16194	Mm.2856	NM_010559	ENSMUSG00000027947	Il6ra	CD126|IL-6R|Il6r	interleukin 6 receptor, alpha	protein-coding
chr8-19163	chr8	128357276	128490521	+	921.5	1.816	intron (NM_008737, intron 3 of 16)	intron (NM_008737, intron 3 of 16)	64657	NR_035436	100316680		NR_035436	miRBase:MI0008317	Mir1903	Mirn1903|mmu-mir-1903	microRNA 1903	ncRNA
chr7-48284	chr7	28334733	28405257	+	920.9	1.624	intron (NM_138752, intron 4 of 18)	intron (NM_138752, intron 4 of 18)	2667	NM_138752	101497	Mm.235700	NM_138752	ENSMUSG00000037552	Plekhg2	AI194308|Clg|Cslg	pleckstrin homology domain containing, family G (with RhoGef domain) member 2	protein-coding
chr2-45390	chr2	73424755	73496713	+	920.7	1.631	intron (NM_153138, intron 1 of 7)	L1MA6|LINE|L1	-6845	NM_001289722	215280	Mm.223504	NM_153138	ENSMUSG00000075284	Wipf1	AI115543|D2Ertd120e|WIP|Waspip	WAS/WASL interacting protein family, member 1	protein-coding
chr4-42596	chr4	120944440	121039889	+	919.3	1.303	intron (NM_133716, intron 1 of 9)	ID4|SINE|ID	-18842	NR_105982	102465614		NR_105982		Mir7015	mmu-mir-7015	microRNA mir-7015	ncRNA
chr13-22630	chr13	44724767	44852127	+	919.2	1.487	intron (NM_001205043, intron 1 of 17)	intron (NM_001205043, intron 1 of 17)	57176	NM_001205043	16468	Mm.25059	NM_021878	ENSMUSG00000038518	Jarid2	Jmj|jumonji	jumonji, AT rich interactive domain 2	protein-coding
chr9-49182	chr9	44952756	45016345	+	916.6	1.811	intron (NM_013487, intron 1 of 4)	MTD|LTR|ERVL-MaLR	2764	NM_013487	12500	Mm.4527	NM_013487	ENSMUSG00000032094	Cd3d	T3d	CD3 antigen, delta polypeptide	protein-coding
chr12-16948	chr12	11196155	11324664	+	916.1	2.204	intron (NM_177331, intron 3 of 13)	Lx8|LINE|L1	5378	NM_177331	209334	Mm.215295	NM_177331	ENSMUSG00000051235	Gen1	5830483C08Rik	Gen homolog 1, endonuclease (Drosophila)	protein-coding
chr9-31287	chr9	21524920	21655451	+	915.7	2.536	TTS (NM_021531)	TTS (NM_021531)	-2537	NM_178619	69773	Mm.39704	NM_178619	ENSMUSG00000048429	1810026J23Rik	-	RIKEN cDNA 1810026J23 gene	protein-coding
chr15-46983	chr15	82120921	82203009	+	915.3	2.286	intron (NM_033218, intron 1 of 18)	intron (NM_033218, intron 1 of 18)	14696	NM_033218	20788	Mm.38016	NM_033218	ENSMUSG00000022463	Srebf2	AI608257|SREBP-2|SREBP2|SREBP2gc|bHLHd2|lop13|nuc	sterol regulatory element binding factor 2	protein-coding
chr7-35712	chr7	142334571	142403998	+	914.4	2.278	intron (NM_177265, intron 2 of 3)	intron (NM_177265, intron 2 of 3)	2975	NM_177265	320802	Mm.154486	NM_177265	ENSMUSG00000045777	Ifitm10	6330512M04Rik|AI848576|DSPA3	interferon induced transmembrane protein 10	protein-coding
chr2-49976	chr2	26471938	26561701	+	912.2	1.854	Intergenic	Intergenic	-12997	NM_008714	18128	Mm.290610	NM_008714	ENSMUSG00000026923	Notch1	9930111A19Rik|Mis6|N1|Tan1|lin-12	notch 1	protein-coding
chr17-6568	chr17	87281852	87376773	+	909.6	1.824	intron (NM_028639, intron 8 of 19)	intron (NM_028639, intron 8 of 19)	46426	NM_028639	225049	Mm.77396	NM_028639	ENSMUSG00000036918	Ttc7	1110035E02Rik|1700007L07Rik|Ttc7a|fsn|hea	tetratricopeptide repeat domain 7	protein-coding
chr14-35763	chr14	75166960	75239985	+	907.6	1.834	intron (NM_008879, intron 6 of 16)	intron (NM_008879, intron 6 of 16)	-38815	NM_019775	56373	Mm.24242	NM_019775	ENSMUSG00000021999	Cpb2	1110032P04Rik|4930405E17Rik|AI255929|CPR|Cpu|TAFI	carboxypeptidase B2 (plasma)	protein-coding
chr19-17449	chr19	6941134	7041210	+	907.5	2.036	intron (NM_020566, intron 1 of 5)	B1_Mur1|SINE|Alu	1100	NM_020566	57431	Mm.10721	NM_020566	ENSMUSG00000024963	Dnajc4	2010301J22Rik|Hspf2|Mcg18	DnaJ (Hsp40) homolog, subfamily C, member 4	protein-coding
chr2-33801	chr2	25152177	25273095	+	907.4	1.887	TTS (NM_028961)	TTS (NM_028961)	-1147	NM_021393	58202	Mm.116418	NM_021393	ENSMUSG00000013465	Nelfb	A730008L03Rik|AB041607|AI663983|Cobra1|Nelf-b	negative elongation factor complex member B, Cobra1	protein-coding
chr6-37819	chr6	117863017	117938010	+	907.0	1.612	intron (NM_001166432, intron 1 of 3)	intron (NM_001166432, intron 1 of 3)	173	NM_001166432	98758	Mm.422979	NM_133834	ENSMUSG00000042079	Hnrnpf	4833420I20Rik|AA407306|Hnrpf	heterogeneous nuclear ribonucleoprotein F	protein-coding
chr11-64409	chr11	97650352	97745136	+	906.8	1.173	intron (NM_001163308, intron 1 of 9)	intron (NM_001163308, intron 1 of 9)	1640	NM_001163307	22658	Mm.2418	NM_009545	ENSMUSG00000018537	Pcgf2	Mel18|Rnf110|Zfp144|mel-18	polycomb group ring finger 2	protein-coding
chr17-21758	chr17	7852035	7945976	+	906.3	1.027	Intergenic	Intergenic	-26995	NM_145968	72536	Mm.119680	NM_145968	ENSMUSG00000033450	Tagap	2610315E15Rik	T cell activation Rho GTPase activating protein	protein-coding
chr9-48802	chr9	42053224	42162015	+	904.9	1.182	intron (NM_011436, intron 1 of 47)	intron (NM_011436, intron 1 of 47)	16670	NM_011436	20660	Mm.121920	NM_011436		Sorl1	2900010L19Rik|AI596264|AW261561|LR11|SorLA|gp250|mSorLA	sortilin-related receptor, LDLR class A repeats-containing	protein-coding
chr7-41237	chr7	15977130	16058973	+	904.7	1.184	Intergenic	Intergenic	-18556	NM_001081418	243842	Mm.440249	NM_001081418	ENSMUSG00000070808	Gltscr1	-	glioma tumor suppressor candidate region gene 1	protein-coding
chr14-28725	chr14	31376207	31443172	+	903.9	1.659	intron (NM_011894, intron 3 of 8)	intron (NM_011894, intron 3 of 8)	26344	NM_011894	24056	Mm.383198	NM_011894	ENSMUSG00000021892	Sh3bp5	AI606498|SH3BP-5|Sab	SH3-domain binding protein 5 (BTK-associated)	protein-coding
chr13-19551	chr13	43166613	43273560	+	903.5	1.948	intron (NM_001033399, intron 1 of 1)	B4A|SINE|B4	-48585	NM_001252639	67046	Mm.269213	NM_025935	ENSMUSG00000021368	Tbc1d7	2610009C09Rik	TBC1 domain family, member 7	protein-coding
chr8-33606	chr8	25047960	25149484	+	902.4	1.887	intron (NM_031257, intron 1 of 11)	intron (NM_031257, intron 1 of 11)	3089	NM_031257	83436	Mm.261122	NM_031257	ENSMUSG00000031557	Plekha2	6430512N22Rik|AI851530|AU041791|TAPP2|W91773	pleckstrin homology domain-containing, family A (phosphoinositide binding specific) member 2	protein-coding
chr12-36258	chr12	70053810	70158373	+	901.4	1.630	intron (NM_001286079, intron 1 of 28)	intron (NM_001286079, intron 1 of 28)	-3237	NM_001081453	18080	Mm.244047	NM_008697	ENSMUSG00000021068	Nin	3110068G20Rik|AI385615|AU024711|mKIAA1565	ninein	protein-coding
chr18-14643	chr18	73743864	73861969	+	901.3	2.033	intron (NM_145494, intron 2 of 15)	L1M4|LINE|L1	12476	NM_145494	107029	Mm.36817	NM_145494	ENSMUSG00000024556	Me2	AW120568|D030040L20Rik|NAD-ME	malic enzyme 2, NAD(+)-dependent, mitochondrial	protein-coding
chr4-7712	chr4	133774858	133888441	+	898.5	1.945	Intergenic	B1_Mur1|SINE|Alu	43082	NM_001285506	20111	Mm.301827	NM_009097	ENSMUSG00000003644	Rps6ka1	Mapkapk-1a|Rsk|Rsk-1|Rsk1|S6K-alpha-1|p90-Rsk1|p90Rsk1|p90S6K|p90rsk	ribosomal protein S6 kinase polypeptide 1	protein-coding
chr2-14935	chr2	30587440	30663984	+	896.7	1.916	Intergenic	MTE2a|LTR|ERVL-MaLR	30668	NM_030137	78617	Mm.40413	NM_030137	ENSMUSG00000047363	Cstad	9530039B02Rik	CSA-conditional, T cell activation-dependent protein	protein-coding
chr9-44088	chr9	66849301	66946927	+	896.5	1.705	intron (NM_173413, intron 1 of 7)	intron (NM_173413, intron 1 of 7)	21591	NM_173413	235442	Mm.260376	NM_173413	ENSMUSG00000036943	Rab8b	5930437D16|D330025I23Rik	RAB8B, member RAS oncogene family	protein-coding
chr11-31581	chr11	48787392	48881264	+	896.5	2.210	intron (NM_053166, intron 1 of 6)	intron (NM_053166, intron 1 of 6)	8190	NM_053166	94089	Mm.390335	NM_053166		Trim7	AI790312	tripartite motif-containing 7	protein-coding
chr3-35135	chr3	52259127	52355126	+	894.2	2.217	intron (NM_019739, intron 1 of 2)	intron (NM_019739, intron 1 of 2)	38789	NM_019739	56458	Mm.29891	NM_019739	ENSMUSG00000044167	Foxo1	AI876417|Afxh|FKHR|Fkhr1|Foxo1a	forkhead box O1	protein-coding
chr5-28017	chr5	53994779	54115321	+	893.9	1.804	intron (NM_001081103, intron 2 of 11)	Lx9|LINE|L1	56527	NM_001081103	116873	Mm.265985	NM_054083	ENSMUSG00000039156	Stim2	-	stromal interaction molecule 2	protein-coding
chr6-25969	chr6	142908369	142965464	+	893.7	1.474	intron (NM_011374, intron 1 of 4)	intron (NM_011374, intron 1 of 4)	27536	NM_011374	20449	Mm.260838	NM_011374	ENSMUSG00000030283	St8sia1	9330109E03Rik|GD3S|Sia-T|Siat8|Siat8a	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1	protein-coding
chr1-64430	chr1	131126244	131210567	+	893.6	1.585	intron (NM_001136070, intron 13 of 14)	intron (NM_001136070, intron 13 of 14)	15198	NM_001136070	16865	Mm.276294	NM_010709	ENSMUSG00000026427	Eif2d	D1Ertd5e|Lgtn	eukaryotic translation initiation factor 2D	protein-coding
chr14-36675	chr14	121306789	121391440	+	890.0	2.301	intron (NM_145465, intron 1 of 10)	intron (NM_145465, intron 1 of 10)	30116	NM_145465	223255	Mm.390756	NM_145465	ENSMUSG00000063410	Stk24	1810013H02Rik|C76483|MST-3|Mst3|STE20	serine/threonine kinase 24	protein-coding
chr8-23414	chr8	88631421	88701706	+	889.9	2.233	intron (NM_145857, intron 4 of 12)	intron (NM_145857, intron 4 of 12)	19216	NM_145857	257632	Mm.222633	NM_145857	ENSMUSG00000055994	Nod2	ACUG|BLAU|CD|Card15|F830032C23Rik|IBD1|Nlrc2	nucleotide-binding oligomerization domain containing 2	protein-coding
chr13-4569	chr13	111892695	112020079	+	889.2	2.668	Intergenic	Intergenic	-147404	NM_011945	26401	Mm.15918	NM_011945	ENSMUSG00000021754	Map3k1	MAPKKK1|MEKK1|Mekk	mitogen-activated protein kinase kinase kinase 1	protein-coding
chr2-40199	chr2	93416004	93470824	+	889.1	3.390	5' UTR (NM_001136055, exon 2 of 10)	5' UTR (NM_001136055, exon 2 of 10)	9258	NM_001271462	12521	Mm.4261	NM_007656	ENSMUSG00000027215	Cd82	AA682076|AL023070|C33|IA4|Kai1|Tspan27	CD82 antigen	protein-coding
chr18-21754	chr18	35692995	35792583	+	888.4	3.509	Intergenic	MLT1B|LTR|ERVL-MaLR	-2235	NM_001289592	72512	Mm.45995	NM_028261	ENSMUSG00000024349	Tmem173	2610307O08Rik|ERIS|MPYS|Mita|STING	transmembrane protein 173	protein-coding
chr15-43967	chr15	55787264	55868851	+	884.6	2.946	intron (NM_016667, intron 1 of 6)	intron (NM_016667, intron 1 of 6)	78892	NM_016667	20649	Mm.309425	NM_016667	ENSMUSG00000060429	Sntb1	-	syntrophin, basic 1	protein-coding
chr10-42167	chr10	7809900	7860180	+	882.7	2.949	intron (NM_172785, intron 1 of 5)	intron (NM_172785, intron 1 of 5)	-1341	NR_039563	100628581		NR_039563	miRBase:MI0018012	Mir5104	mmu-mir-5104|mu-mir-5104	microRNA 5104	ncRNA
chr17-40061	chr17	26968250	27084541	+	880.1	2.877	intron (NM_007523, intron 1 of 5)	(TG)n|Simple_repeat|Simple_repeat	2231	NM_007523	12018	Mm.2443	NM_007523	ENSMUSG00000057789	Bak1	Bak|N-BAK1|N-Bak	BCL2-antagonist/killer 1	protein-coding
chr4-36856	chr4	123497374	123583140	+	876.2	3.005	intron (NM_001199136, intron 3 of 97)	B2_Mm2|SINE|B2	-76163	NR_105824	102465214		NR_105824	miRBase:MI0021934	Mir6398	mmu-mir-6398	microRNA mir-6398	ncRNA
chr16-12621	chr16	30967743	31081763	+	875.5	3.225	intron (NM_198626, intron 2 of 3)	intron (NM_198626, intron 2 of 3)	56679	NM_198626	268880	Mm.286693	NM_198626	ENSMUSG00000047434	Xxylt1	AI480653	xyloside xylosyltransferase 1	protein-coding
chr16-759	chr16	93711052	93837441	+	874.9	2.668	intron (NM_027293, intron 21 of 36)	B1F1|SINE|Alu	-57875	NM_001045529	338467	Mm.287329	NM_001045529	ENSMUSG00000039456	Morc3	1110051N18Rik|AI452146|BF318192|D16Jhu32e|NXP2|Zcwcc3	microrchidia 3	protein-coding
chr10-43587	chr10	39161536	39268776	+	874.8	3.898	Intergenic	RMER13B|LTR|ERVK	-51362	NM_001127376	327743	Mm.208111	NM_001127376	ENSMUSG00000062074	Wisp3	CCN6|ENSMUSG00000062074|Gm735|WISP-3	WNT1 inducible signaling pathway protein 3	protein-coding
chr11-52782	chr11	51571909	51658755	+	874.4	3.426	Intergenic	Intergenic	-4441	NM_026631	52530	Mm.28203	NM_026631	ENSMUSG00000001056	Nhp2	2410130M07Rik|D11Ertd175e|Nola2	NHP2 ribonucleoprotein	protein-coding
chr6-45648	chr6	146070286	146171214	+	873.7	2.721	intron (NM_019923, intron 55 of 56)	intron (NM_019923, intron 55 of 56)	186603	NM_010656	16651	Mm.49689	NM_010656	ENSMUSG00000030255	Sspn	Krag	sarcospan	protein-coding
chr5-46781	chr5	125388612	125504010	+	871.8	2.981	intron (NM_029752, intron 1 of 2)	intron (NM_029752, intron 1 of 2)	4743	NM_029752	76809	Mm.290720	NM_029752	ENSMUSG00000037905	Bri3bp	2410150I18Rik|AI841257|AW742481	Bri3 binding protein	protein-coding
chr5-27747	chr5	34500827	34594407	+	870.9	3.152	intron (NM_001145858, intron 1 of 12)	B3|SINE|B2	-1959	NM_001145859	24055	Mm.5012	NM_011893	ENSMUSG00000054520	Sh3bp2	3BP2	SH3-domain binding protein 2	protein-coding
chr10-33866	chr10	66994674	67115649	+	862.6	3.303	intron (NM_001204915, intron 2 of 8)	RSINE1|SINE|B4	41827	NM_178606	28193	Mm.41272	NM_178606	ENSMUSG00000019873	Reep3	D10Ucla1	receptor accessory protein 3	protein-coding
chr8-11782	chr8	3308400	3434368	+	862.5	3.264	intron (NM_001033378, intron 2 of 10)	B3|SINE|B2	17969	NM_001033378	319493	Mm.234565	NM_001033378	ENSMUSG00000074497	A430078G23Rik	-	RIKEN cDNA A430078G23 gene	protein-coding
chr17-32736	chr17	86297027	86400587	+	862.2	3.202	intron (NM_011104, intron 1 of 14)	ORR1A1|LTR|ERVL-MaLR	-61629	NR_045435	72104	Mm.443401	NR_045435		2010106C02Rik	-	RIKEN cDNA 2010106C02 gene	ncRNA
chr2-52663	chr2	102848124	102914985	+	860.2	2.998	intron (NM_001177787, intron 1 of 10)	intron (NM_001177787, intron 1 of 10)	20111	NM_001177787	12505	Mm.423621	NM_009851	ENSMUSG00000005087	Cd44	AU023126|AW121933|AW146109|HERMES|Ly-24|Pgp-1	CD44 antigen	protein-coding
chr9-47272	chr9	14005714	14118550	+	858.7	2.844	Intergenic	Intergenic	-214169	NM_030261	75747	Mm.325126	NM_030261	ENSMUSG00000032009	Sesn3	5630400E15Rik|BC003348|SEST3	sestrin 3	protein-coding
chr1-51476	chr1	37466255	37552130	+	857.8	1.317	intron (NM_001290801, intron 1 of 14)	RMER10A|LTR|ERVL	-20587	NR_024017	77633	Mm.483177	NR_024017		4930594C11Rik	-	G1 to S phase transition pseudogene	pseudo
chr1-37915	chr1	173404475	173511262	+	857.6	1.507	intron (NM_001013779, intron 5 of 8)	intron (NM_001013779, intron 5 of 8)	37264	NM_001013779	383619	Mm.131453	NM_001013779	ENSMUSG00000037860	Aim2	Gm1313|Ifi210	absent in melanoma 2	protein-coding
chr12-46339	chr12	112583234	112703175	+	857.2	1.660	Intergenic	ORR1A3|LTR|ERVL-MaLR	-1624	NM_013929	30954	Mm.289812	NM_013929	ENSMUSG00000064326	Siva1	CD27bp|Siva	SIVA1, apoptosis-inducing factor	protein-coding
chr5-1619	chr5	103691675	103810671	+	856.4	1.382	Intergenic	Intergenic	-2989	NM_133919	17355	Mm.6949	NM_133919	ENSMUSG00000029313	Aff1	9630032B01Rik|AW319193|Af4|Mllt2h|Rob	AF4/FMR2 family, member 1	protein-coding
chr13-33239	chr13	117194161	117261925	+	856.3	1.170	intron (NM_010330, intron 1 of 8)	intron (NM_010330, intron 1 of 8)	7470	NM_010330	13723	Mm.274926	NM_010330	ENSMUSG00000021728	Emb	AL022799|Gp70	embigin	protein-coding
chr6-33197	chr6	125422703	125510859	+	855.9	1.497	intron (NM_007657, intron 2 of 7)	B4A|SINE|B4	27974	NM_007657	12527	Mm.210676	NM_007657	ENSMUSG00000030342	Cd9	Tspan29	CD9 antigen	protein-coding
chr14-31451	chr14	120271989	120407244	+	854.8	1.684	intron (NM_175341, intron 2 of 8)	MurERV4-int|LTR|ERVK	63947	NM_175341	105559	Mm.238266	NM_175341	ENSMUSG00000022139	Mbnl2	1110002M11Rik|AI047808|AI837313|AI849185|AL118326|MBLL|R75232|mKIAA4072	muscleblind-like 2	protein-coding
chr12-46386	chr12	112804742	112880410	+	853.7	2.426	Intergenic	RLTR13D3A1|LTR|ERVK	-13187	NM_028023	71963	Mm.313185	NM_028023	ENSMUSG00000047832	Cdca4	2410018C03Rik|HEPP|SEI-3	cell division cycle associated 4	protein-coding
chr1-39251	chr1	40460703	40544419	+	853.1	2.281	Intergenic	Intergenic	-12801	NM_010553	16174	Mm.20466	NM_010553	ENSMUSG00000026068	Il18rap	AcPL|IL-18R-beta|IL-18RAcP|IL-18Rbeta|IL-1RAcPL	interleukin 18 receptor accessory protein	protein-coding
chr12-4647	chr12	12262222	12325462	+	852.6	2.370	intron (NM_029758, intron 2 of 12)	intron (NM_029758, intron 2 of 12)	31703	NM_001146119	76820	Mm.440802	NM_029758	ENSMUSG00000020589	Fam49a	2410157M17Rik|9630047E15|D12Ertd553e	family with sequence similarity 49, member A	protein-coding
chr15-26081	chr15	76606279	76727876	+	850.1	2.491	exon (NM_010630, exon 17 of 18)	exon (NM_010630, exon 17 of 18)	2871	NM_007989	14106	Mm.42011	NM_007989	ENSMUSG00000033837	Foxh1	Fast1|Fast2|fast-1|fast-2	forkhead box H1	protein-coding
chr5-14907	chr5	64294401	64416529	+	848.9	2.666	Intergenic	Intergenic	112477	NR_040681	69999	Mm.261413	NR_040681		1700027F09Rik	-	RIKEN cDNA 1700027F09 gene	ncRNA
chr9-47743	chr9	21304292	21392103	+	844.7	2.548	intron (NM_152808, intron 18 of 21)	intron (NM_152808, intron 18 of 21)	10369	NM_152808	68682	Mm.148425	NM_152808	ENSMUSG00000057193	Slc44a2	1110028E10Rik|CTL2	solute carrier family 44, member 2	protein-coding
chr3-20964	chr3	83913238	84048329	+	844.6	2.524	intron (NM_172681, intron 3 of 34)	intron (NM_172681, intron 3 of 34)	59378	NM_172681	229473	Mm.28838	NM_172681	ENSMUSG00000033767	D930015E06Rik	Kiaa0922|mKIAA0922	RIKEN cDNA D930015E06 gene	protein-coding
chr9-22395	chr9	65528287	65590698	+	844.1	2.542	exon (NM_153119, exon 4 of 6)	exon (NM_153119, exon 4 of 6)	20595	NM_153119	102595	Mm.247303	NM_153119		Plekho2	AI840980|Plekhq1	pleckstrin homology domain containing, family O member 2	protein-coding
chr9-16201	chr9	110640261	110711884	+	843.0	2.060	intron (NM_028312, intron 1 of 6)	B3A|SINE|B2	19569	NM_028312	72654	Mm.249115	NM_028312	ENSMUSG00000019659	Ccdc12	2700094L05Rik|C76605	coiled-coil domain containing 12	protein-coding
chr16-17295	chr16	76298153	76380303	+	841.0	2.007	intron (NM_173440, intron 2 of 3)	intron (NM_173440, intron 2 of 3)	33821	NM_173440	268903	Mm.74711	NM_173440	ENSMUSG00000048490	Nrip1	6030458L20Rik|8430438I05Rik|9630050P12|AA959574|AW456757|RIP140	nuclear receptor interacting protein 1	protein-coding
chr7-31302	chr7	140982259	141100640	+	840.6	1.488	Intergenic	Intergenic	-19825	NM_177897	330671	Mm.133741	NM_177897	ENSMUSG00000055629	B4galnt4	BC038881|Gm1095|beta4GalNAcT4	beta-1,4-N-acetyl-galactosaminyl transferase 4	protein-coding
chr3-44248	chr3	107029516	107111145	+	840.1	1.647	Intergenic	Intergenic	30826	NR_033498	229694	Mm.347584	NM_173787	ENSMUSG00000056145	AI504432	A230102G19	expressed sequence AI504432	ncRNA
chr16-26105	chr16	44956817	45045619	+	839.6	1.694	Intergenic	Intergenic	57540	NM_001128132	74603	Mm.297337	NM_027578	ENSMUSG00000036172	Cd200r3	4733401I18Rik|4833409J19Rik|AI505817|BB106877|mCD200RLb	CD200 receptor 3	protein-coding
chr15-46445	chr15	79864449	79959002	+	839.4	1.975	Intergenic	MTD|LTR|ERVL-MaLR	-18587	NR_030675	109361	Mm.394656	NR_030675		D730005E14Rik	-	RIKEN cDNA D730005E14 gene	ncRNA
chr9-24050	chr9	21072875	21201213	+	838.6	2.480	Intergenic	PB1D7|SINE|Alu	-5769	NM_001205312	54721	Mm.20249	NM_018793	ENSMUSG00000032175	Tyk2	JTK1	tyrosine kinase 2	protein-coding
chr16-19071	chr16	33681639	33769832	+	837.1	2.617	intron (NM_175256, intron 3 of 14)	intron (NM_175256, intron 3 of 14)	41269	NM_175256	77446	Mm.245741	NM_172934	ENSMUSG00000075254	Heg1	4632417D23Rik|5530401I02Rik|9530025L16Rik|BC038614|Gm629|OTTMUSG00000027315	HEG homolog 1 (zebrafish)	protein-coding
chr10-47554	chr10	111156128	111254122	+	836.1	2.535	intron (NM_001003717, intron 2 of 22)	intron (NM_001003717, intron 2 of 22)	40323	NM_175489	237542	Mm.220204	NM_175489	ENSMUSG00000020189	Osbpl8	AA536976|AA536995|C730029P18Rik|D330025H14Rik|ORP-8	oxysterol binding protein-like 8	protein-coding
chr10-33922	chr10	67571486	67665287	+	835.3	2.441	Intergenic	Intergenic	-69431	NM_001005419	211488	Mm.297250	NM_001005419	ENSMUSG00000057134	Ado	Gm237	2-aminoethanethiol (cysteamine) dioxygenase	protein-coding
chr10-19184	chr10	6953209	7014601	+	832.9	2.529	intron (NM_001039652, intron 4 of 5)	MTE2a|LTR|ERVL-MaLR	-3440	NM_001170802	320495	Mm.331674	NM_001033391	ENSMUSG00000064065	Ipcef1	A130090K04Rik	interaction protein for cytohesin exchange factors 1	protein-coding
chr11-28889	chr11	75530575	75606253	+	828.3	2.527	exon (NM_173388, exon 11 of 14)	exon (NM_173388, exon 11 of 14)	16985	NR_039553	100628624		NR_039553		Mir3971	mmu-mir-3971|mu-mir-3971	microRNA 3971	ncRNA
chr19-17294	chr19	5635828	5732027	+	827.1	2.398	intron (NM_144868, intron 8 of 34)	intron (NM_144868, intron 8 of 34)	-4851	NR_105953	102465596		NR_105953		Mir6987	mmu-mir-6987	microRNA mir-6987	ncRNA
chr10-49820	chr10	19933695	20021101	+	827.0	2.237	intron (NM_008580, intron 1 of 29)	intron (NM_008580, intron 1 of 29)	42872	NM_008580	26408	Mm.6595	NM_008580	ENSMUSG00000071369	Map3k5	7420452D20Rik|ASK|ASK1|MAPKKK5|Mekk5	mitogen-activated protein kinase kinase kinase 5	protein-coding
