PeakID (cmd=annotatePeaks.pl AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr8-27492	chr8	116581542	116690144	+	1000.8	2.106	intron (NM_029441, intron 1 of 6)	L1MC3|LINE|L1	97148	NM_029441	75796	Mm.159575	NM_029441	ENSMUSG00000031758	Cdyl2	1700029M19Rik|4930453I21Rik|Gm20194	chromodomain protein, Y chromosome-like 2	protein-coding
chr7-22720	chr7	101042031	101143228	+	998.8	2.240	Intergenic	Intergenic	-16146	NM_001146010	207278	Mm.263041	NM_199012	ENSMUSG00000030691	Fchsd2	BC034086|R74866|Sh3md3|mKIAA0769	FCH and double SH3 domains 2	protein-coding
chr17-25422	chr17	28169919	28259470	+	996.5	2.310	intron (NM_027185, intron 1 of 10)	B2_Mm1a|SINE|B2	6916	NM_027185	23853	Mm.204731	NM_027185	ENSMUSG00000002257	Def6	2410003F05Rik|6430538D02Rik|AV094905|Ibp|Slat|Slat2|Slat6	differentially expressed in FDCP 6	protein-coding
chr11-74821	chr11	61638463	61700788	+	995.9	2.419	intron (NM_027817, intron 3 of 4)	intron (NM_027817, intron 3 of 4)	-14785	NM_178618	69640	Mm.458559	NM_178618	ENSMUSG00000042377	Fam83g	2310040C09Rik|AI506990|wly	family with sequence similarity 83, member G	protein-coding
chr9-37130	chr9	65524190	65587794	+	992.4	2.700	3' UTR (NM_153119, exon 6 of 6)	3' UTR (NM_153119, exon 6 of 6)	24095	NM_153119	102595	Mm.247303	NM_153119		Plekho2	AI840980|Plekhq1	pleckstrin homology domain containing, family O member 2	protein-coding
chr2-71865	chr2	151526669	151596296	+	992.4	2.716	3' UTR (NM_008019, exon 5 of 5)	3' UTR (NM_008019, exon 5 of 5)	-11141	NM_145535	228765	Mm.32068	NM_145535	ENSMUSG00000027456	Sdcbp2	-	syndecan binding protein (syntenin) 2	protein-coding
chr14-24222	chr14	19949866	20035722	+	991.3	2.346	Intergenic	Intergenic	-15545	NM_001285909	14702	Mm.41737	NM_010315	ENSMUSG00000043004	Gng2	82	guanine nucleotide binding protein (G protein), gamma 2	protein-coding
chr6-50291	chr6	39303209	39420766	+	990.8	1.948	intron (NM_028123, intron 3 of 14)	GA-rich|Low_complexity|Low_complexity	15720	NM_028123	72144	Mm.482167	NM_028123	ENSMUSG00000029924	Slc37a3	2610507O21Rik|AU044904	solute carrier family 37 (glycerol-3-phosphate transporter), member 3	protein-coding
chr2-59639	chr2	174598625	174655725	+	990.1	2.193	Intergenic	B4|SINE|B4	-16359	NM_001099328	100043757	Mm.48711	NM_001099328	ENSMUSG00000050600	Zfp831	ENSMUSG00000050600|OTTMUSG00000017459	zinc finger protein 831	protein-coding
chr19-24078	chr19	11339921	11418058	+	988.2	1.739	Intergenic	Intergenic	-28672	NM_029499	64380	Mm.440715	NM_029499	ENSMUSG00000024675	Ms4a4c	5830413L19Rik|AI449185|Ms4a9	membrane-spanning 4-domains, subfamily A, member 4C	protein-coding
chr10-56732	chr10	68221479	68304245	+	988.0	1.981	intron (NM_023598, intron 2 of 9)	B1_Mus2|SINE|Alu	15864	NM_023598	71371	Mm.440357	NM_023598	ENSMUSG00000019947	Arid5b	4930580B11|5430435G07Rik|AI467247|Desrt|Mrf2|Mrf2alpha|Mrf2beta	AT rich interactive domain 5B (MRF1-like)	protein-coding
chr10-41018	chr10	62500208	62557074	+	987.7	2.171	Intergenic	Intergenic	-20886	NM_011157	19073	Mm.338790	NM_011157	ENSMUSG00000020077	Srgn	Prg|Prg1|Sgc	serglycin	protein-coding
chr1-20764	chr1	37466570	37549535	+	987.2	3.003	intron (NM_001290801, intron 1 of 14)	intron (NM_001290801, intron 1 of 14)	-19447	NR_024017	77633	Mm.483177	NR_024017		4930594C11Rik	-	G1 to S phase transition pseudogene	pseudo
chr1-54689	chr1	36861995	36967010	+	985.5	3.196	intron (NM_018872, intron 1 of 40)	intron (NM_018872, intron 1 of 40)	25025	NM_018872	56030	Mm.186943	NM_018872	ENSMUSG00000026116	Tmem131	2610524E03Rik|CC28|D1Bwg0491e|Neg|RW1|YR-23|mKIAA0257	transmembrane protein 131	protein-coding
chr5-52095	chr5	140565368	140624222	+	984.2	3.481	Intergenic	Intergenic	-12546	NM_008494	16848	Mm.12834	NM_008494	ENSMUSG00000029570	Lfng	AW061165	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	protein-coding
chr11-31703	chr11	75152577	75283446	+	983.0	3.921	intron (NM_177708, intron 1 of 1)	IMPB_01|Satellite|Satellite	24018	NM_177708	237847	Mm.82661	NM_177708	ENSMUSG00000045287	Rtn4rl1	Ngr3|Ngrh2|Ngrl2	reticulon 4 receptor-like 1	protein-coding
chr6-46427	chr6	83380492	83457719	+	981.0	4.972	intron (NM_183138, intron 2 of 10)	intron (NM_183138, intron 2 of 10)	-18003	NR_105793	102465194		NR_105793		Mir6374	mmu-mir-6374	microRNA mir-6374	ncRNA
chr12-44749	chr12	76306921	76385473	+	976.6	5.053	Intergenic	Intergenic	21306	NM_001101471	238276	Mm.311452	NM_001101471	ENSMUSG00000021057	Akap5	3526401B18Rik|AKAP 150|AKAP-5|AKAP150|BB098886|Gm258|P150	A kinase (PRKA) anchor protein 5	protein-coding
chr9-36241	chr9	44005123	44049182	+	974.9	4.732	Intergenic	(TG)n|Simple_repeat|Simple_repeat	-16232	NM_009382	21838	Mm.3951	NM_009382	ENSMUSG00000032011	Thy1	CD90|T25|Thy-1|Thy-1.2|Thy1.1|Thy1.2	thymus cell antigen 1, theta	protein-coding
chr13-37546	chr13	44441542	44558257	+	971.7	5.034	Intergenic	Intergenic	60172	NR_045489	69491	Mm.392410	NR_045489	ENSMUSG00000098144	1700029N11Rik	-	RIKEN cDNA 1700029N11 gene	ncRNA
chr9-36487	chr9	46142648	46203427	+	969.4	4.842	intron (NM_027498, intron 4 of 24)	B4A|SINE|B4	-55593	NM_009692	11806	Mm.26743	NM_009692	ENSMUSG00000032083	Apoa1	Alp-1|Apoa-1|Brp-14|Ltw-1|Lvtw-1|Sep-1|Sep-2|Sep2|apo-AI|apoA-I	apolipoprotein A-I	protein-coding
chr8-29555	chr8	86838028	86903598	+	964.2	4.546	intron (NM_030563, intron 1 of 6)	intron (NM_030563, intron 1 of 6)	14445	NM_030563	80750	Mm.25117	NM_030563	ENSMUSG00000031652	N4bp1	AI481586|C81621	NEDD4 binding protein 1	protein-coding
chr12-42729	chr12	16116783	16232688	+	963.3	3.883	Intergenic	AT_rich|Low_complexity|Low_complexity	-357950	NM_144551	217410	Mm.491136	NM_144551	ENSMUSG00000020601	Trib2	AW319517|TRB-2|TRB2	tribbles homolog 2 (Drosophila)	protein-coding
chr4-28718	chr4	120951038	121039912	+	963.1	3.807	intron (NM_133716, intron 1 of 9)	intron (NM_133716, intron 1 of 9)	21772	NM_133716	69780	Mm.271819	NM_133716	ENSMUSG00000032870	Smap2	1810031K02Rik|AA408614|Smap1l	small ArfGAP 2	protein-coding
chr6-9360	chr6	125411099	125511915	+	960.3	3.480	intron (NM_007657, intron 6 of 7)	B3|SINE|B2	33248	NM_007657	12527	Mm.210676	NM_007657	ENSMUSG00000030342	Cd9	Tspan29	CD9 antigen	protein-coding
chr1-71105	chr1	128532341	128626968	+	960.1	3.458	Intergenic	Intergenic	12645	NM_009911	12767	Mm.1401	NM_009911	ENSMUSG00000045382	Cxcr4	CD184|Cmkar4|LESTR|PB-CKR|PBSF/SDF-1|Sdf1r|b2b220Clo	chemokine (C-X-C motif) receptor 4	protein-coding
chr3-25994	chr3	52261421	52354040	+	959.5	2.365	intron (NM_019739, intron 1 of 2)	intron (NM_019739, intron 1 of 2)	39393	NM_019739	56458	Mm.29891	NM_019739	ENSMUSG00000044167	Foxo1	AI876417|Afxh|FKHR|Fkhr1|Foxo1a	forkhead box O1	protein-coding
chr4-36941	chr4	106907849	107024596	+	958.2	2.215	intron (NM_198438, intron 4 of 16)	B1_Mur2|SINE|Alu	54752	NM_198438	72475	Mm.195635	NM_023672	ENSMUSG00000061887	Ssbp3	2610021L12Rik|2610200M23Rik|5730488C10Rik|AI854733|AW551939|LAST|SSDP1	single-stranded DNA binding protein 3	protein-coding
chr9-50447	chr9	73038843	73091903	+	956.9	2.256	intron (NM_001301232, intron 1 of 5)	B3A|SINE|B2	1225	NM_001301232	11891	Mm.34867	NM_023635	ENSMUSG00000032202	Rab27a	2210402C08Rik|2410003M20Rik|4933437C11Rik|ash	RAB27A, member RAS oncogene family	protein-coding
chr7-29955	chr7	28335934	28401233	+	955.2	2.354	intron (NM_138752, intron 6 of 18)	intron (NM_138752, intron 6 of 18)	4079	NM_001083912	101497	Mm.235700	NM_138752	ENSMUSG00000037552	Plekhg2	AI194308|Clg|Cslg	pleckstrin homology domain containing, family G (with RhoGef domain) member 2	protein-coding
chr2-45225	chr2	167312999	167388868	+	953.0	3.251	Intergenic	Intergenic	-1755	NM_019835	56336	Mm.200886	NM_019835	ENSMUSG00000017929	B4galt5	9430078I07Rik|AW049941|AW539721	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5	protein-coding
chr16-29435	chr16	51650400	51721992	+	953.0	3.187	Intergenic	Intergenic	-345353	NM_001033238	208650	Mm.328206	NM_001033238	ENSMUSG00000022637	Cblb	AI429560|AI851073|Cbl-b	Casitas B-lineage lymphoma b	protein-coding
chr3-37453	chr3	52821723	52902928	+	952.8	2.943	Intergenic	Intergenic	65341	NR_040555	622124	Mm.389434	NR_040555		Gm20750	-	predicted gene, 20750	ncRNA
chr8-42512	chr8	25593650	25664371	+	952.4	3.471	intron (NM_001001735, intron 1 of 9)	B2_Mm1t|SINE|B2	-11274	NM_001081269	234135	Mm.217337	NM_001001735	ENSMUSG00000054823	Whsc1l1	6720429E03|A530023P05|AI528490|NSD3|WHISTLE	Wolf-Hirschhorn syndrome candidate 1-like 1 (human)	protein-coding
chr11-77486	chr11	98924855	98991274	+	949.2	3.167	intron (NM_009024, intron 2 of 8)	B1_Mur4|SINE|Alu	-2407	NM_001176528	19401	Mm.439744	NM_009024	ENSMUSG00000037992	Rara	Nr1b1|RAR|RARalpha1	retinoic acid receptor, alpha	protein-coding
chr1-55632	chr1	58697617	58745092	+	944.7	2.790	intron (NM_207653, intron 1 of 9)	L1MA9|LINE|L1	8068	NM_009805	12633	Mm.336848	NM_009805	ENSMUSG00000026031	Cflar	2310024N18Rik|A430105C05Rik|CLARP|Cash|Casper|ENSMUSG00000072980|FLAME|FLAME-1|Flip|Gm9845|I-FLICE|MRIT|c-Flip	CASP8 and FADD-like apoptosis regulator	protein-coding
chr10-27189	chr10	98875389	98991714	+	944.4	2.801	intron (NM_026482, intron 1 of 20)	intron (NM_026482, intron 1 of 20)	18399	NM_026482	67972	Mm.166944	NM_026482	ENSMUSG00000019943	Atp2b1	2810442I22Rik|E130111D10Rik|Pmca1	ATPase, Ca++ transporting, plasma membrane 1	protein-coding
chr11-46559	chr11	57951268	58041266	+	944.2	3.120	Intergenic	B1_Mur2|SINE|Alu	-12797	NM_028451	73158	Mm.248843	NM_028451	ENSMUSG00000037331	Larp1	1810024J12Rik|3110040D16Rik|Larp|mKIAA0731	La ribonucleoprotein domain family, member 1	protein-coding
chr9-40959	chr9	69289099	69364691	+	940.4	3.181	intron (NM_001289916, intron 1 of 9)	intron (NM_001289916, intron 1 of 9)	37054	NM_001289916	19883	Mm.378450	NM_013646	ENSMUSG00000032238	Rora	9530021D13Rik|Nr1f1|ROR1|ROR2|ROR3|nmf267|sg|staggerer|tmgc26	RAR-related orphan receptor alpha	protein-coding
chr3-28542	chr3	68740296	68837158	+	940.2	3.268	Intergenic	Intergenic	-80859	NM_001167996	68725	Mm.45741	NM_001167996	ENSMUSG00000046999	1110032F04Rik	AI115547	RIKEN cDNA 1110032F04 gene	protein-coding
chr9-39456	chr9	35094908	35176399	+	939.8	3.100	intron (NM_027030, intron 3 of 5)	intron (NM_027030, intron 3 of 5)	-18843	NM_009178	20443	Mm.275973	NM_009178	ENSMUSG00000032038	St3gal4	Siat4c	ST3 beta-galactoside alpha-2,3-sialyltransferase 4	protein-coding
chr2-59054	chr2	165815793	165895147	+	939.7	3.049	intron (NM_001252587, intron 2 of 11)	B1_Mur2|SINE|Alu	2703	NM_001252585	228880	Mm.227598	NM_027230	ENSMUSG00000039671	Zmynd8	1110013E22Rik|2010005I16Rik|3632413B07Rik|AI316811|AL024039|Prkcbp1|RACK7	zinc finger, MYND-type containing 8	protein-coding
chr18-22734	chr18	60708925	60813550	+	938.0	3.510	Intergenic	(GA)n|Simple_repeat|Simple_repeat	-13359	NM_020600	20044	Mm.43778	NM_020600	ENSMUSG00000024608	Rps14	2600014J02Rik|AL023078	ribosomal protein S14	protein-coding
chr4-6451	chr4	47247026	47333908	+	937.4	3.150	intron (NM_009928, intron 24 of 39)	intron (NM_009928, intron 24 of 39)	-62838	NM_009370	21812	Mm.197552	NM_009370	ENSMUSG00000007613	Tgfbr1	ALK5|AU017191|Alk-5|TbetaR-I|TbetaRI	transforming growth factor, beta receptor I	protein-coding
chr19-20198	chr19	9874058	10000669	+	933.7	3.159	Intergenic	RMER12|LTR|ERVK	-37830	NM_016692	16319	Mm.29755	NM_016692	ENSMUSG00000024660	Incenp	2700067E22Rik|AU019509|C130081E20|C77457	inner centromere protein	protein-coding
chr3-37411	chr3	52597897	52706057	+	930.0	3.252	Intergenic	Intergenic	-87747	NR_038079	329639	Mm.131245	NR_038079		Gm2447	100039832|A530017F20	predicted gene 2447	ncRNA
chr18-12536	chr18	67201164	67324803	+	929.9	3.466	Intergenic	Intergenic	-17153	NM_172630	225651	Mm.235792	NM_172630	ENSMUSG00000062526	Mppe1	A530095G11	metallophosphoesterase 1	protein-coding
chr11-53368	chr11	119075268	119192756	+	927.6	3.211	Intergenic	Intergenic	20125	NR_105899	102465563		NR_105899		Mir6934	mmu-mir-6934	microRNA mir-6934	ncRNA
chr4-37667	chr4	133114734	133213149	+	925.5	4.072	intron (NM_153423, intron 1 of 8)	intron (NM_153423, intron 1 of 8)	-31714	NR_105984	102466215		NR_105984		Mir7017	mmu-mir-7017	microRNA mir-7017	ncRNA
chr19-16044	chr19	18582806	18672844	+	925.3	3.325	intron (NM_017375, intron 1 of 9)	intron (NM_017375, intron 1 of 9)	3988	NM_017375	20409	Mm.172222	NM_017375		Ostf1	C78236|SH3P2|Sh3d3	osteoclast stimulating factor 1	protein-coding
chr8-35037	chr8	69918440	70012565	+	924.4	3.037	intron (NM_001286450, intron 1 of 12)	B1_Mur3|SINE|Alu	8881	NM_001113346	234366	Mm.270044	NM_145596	ENSMUSG00000036180	Gatad2a	1110066C11Rik|BC031407|C80248	GATA zinc finger domain containing 2A	protein-coding
chr10-56556	chr10	67454430	67566069	+	923.3	3.066	Intergenic	MamRep605|LTR?|LTR?	-27620	NM_010118	13654	Mm.290421	NM_010118	ENSMUSG00000037868	Egr2	Egr-2|Krox-20|Krox20|NGF1-B|Zfp-25|Zfp-6	early growth response 2	protein-coding
chr2-68934	chr2	60800291	60884493	+	922.8	2.881	exon (NM_001141932, exon 2 of 15)	exon (NM_001141932, exon 2 of 15)	39046	NM_001141931	56878	Mm.259667	NM_020296	ENSMUSG00000026970	Rbms1	2600014B10Rik|AI255215|MSSP-1|MSSP-2|MSSP-3|YC1	RNA binding motif, single stranded interacting protein 1	protein-coding
chr2-65165	chr2	160730530	160793322	+	918.1	2.585	intron (NM_021280, intron 32 of 33)	intron (NM_021280, intron 32 of 33)	30616	NM_021280	18803	Mm.44463	NM_021280	ENSMUSG00000016933	Plcg1	AI894140|Cded|Plc-1|Plc-gamma1|Plcg-1	phospholipase C, gamma 1	protein-coding
chr12-30562	chr12	3263819	3372301	+	917.9	2.778	Intergenic	L1MC5|LINE|L1	-8091	NM_016676	19325	Mm.378993	NM_016676	ENSMUSG00000020671	Rab10	AW107754	RAB10, member RAS oncogene family	protein-coding
chr18-12913	chr18	89191935	89273933	+	915.6	2.727	intron (NM_178687, intron 3 of 6)	L1MA4A|LINE|L1	35507	NM_001039149	225825	Mm.139293	NM_178687	ENSMUSG00000034028	Cd226	BC051526|DNAM-1|DNAM1|Pta1|TLiSA1	CD226 antigen	protein-coding
chr7-52704	chr7	75454908	75538160	+	915.4	2.495	intron (NM_029332, intron 1 of 36)	intron (NM_029332, intron 1 of 36)	41000	NM_029332	75547	Mm.216107	NM_029332	ENSMUSG00000066406	Akap13	1700026G02Rik|5730522G15Rik|5830460E08Rik|AKAP-Lbc|BRX|Ht31|LBC|PROTO-LB|PROTO-LBC	A kinase (PRKA) anchor protein 13	protein-coding
chr6-48363	chr6	127234762	127272929	+	913.9	2.802	Intergenic	Intergenic	54122	NR_073373	232386	Mm.257367	NR_073373		D130058E03	-	uncharacterized D130058E03	ncRNA
chr5-56897	chr5	115670484	115733415	+	913.3	2.048	intron (NM_001080808, intron 2 of 8)	intron (NM_001080808, intron 2 of 8)	29610	NM_001080808	75665	Mm.233914	NM_001080808	ENSMUSG00000041609	Ccdc64	2210403N09Rik|BICDR-1	coiled-coil domain containing 64	protein-coding
chr11-77299	chr11	97765280	97841576	+	912.1	2.152	intron (NM_010688, intron 1 of 6)	PB1D10|SINE|Alu	3756	NM_010688	16796	Mm.271967	NM_010688	ENSMUSG00000038366	Lasp1	AA408629|Def-4|SH3P6|Tg(Col1a1-lacZ)1Ngma	LIM and SH3 protein 1	protein-coding
chr6-54769	chr6	146427628	146522022	+	911.5	1.778	intron (NM_019923, intron 2 of 56)	B1_Mur4|SINE|Alu	27398	NM_010586	16439	Mm.7800	NM_010586	ENSMUSG00000030287	Itpr2	AI649341|InsP3R-2|InsP3R-5|Ip3r2|Itpr5|insP3R2	inositol 1,4,5-triphosphate receptor 2	protein-coding
chr11-48595	chr11	115128477	115200376	+	911.4	1.922	intron (NM_012030, intron 1 of 5)	intron (NM_012030, intron 1 of 5)	1085	NM_012030	26941	Mm.27842	NM_012030	ENSMUSG00000020733	Slc9a3r1	EBP-50|NHE-RF|NHERF-1|NHERF1	solute carrier family 9 (sodium/hydrogen exchanger), member 3 regulator 1	protein-coding
chr1-56563	chr1	87607260	87690562	+	909.5	2.168	intron (NR_122078, intron 2 of 27)	intron (NR_122078, intron 2 of 27)	28599	NM_010566	16331	Mm.15105	NM_010566	ENSMUSG00000026288	Inpp5d	SHIP|SHIP-1|SHIP1|SIP-145|p150Ship|s-SHIP	inositol polyphosphate-5-phosphatase D	protein-coding
chr9-30894	chr9	57927494	57998513	+	908.4	2.233	TTS (NM_011352)	TTS (NM_011352)	22868	NM_011352	20361	Mm.335187	NM_011352	ENSMUSG00000038264	Sema7a	2900057C09Rik|CDw108|H-Sema-L|M-Sema-L|Semal	sema domain, immunoglobulin domain (Ig), and GPI membrane anchor, (semaphorin) 7A	protein-coding
chr6-56508	chr6	54031697	54172675	+	907.8	2.036	intron (NM_001163640, intron 1 of 12)	B2_Mm2|SINE|B2	62254	NM_001163640	69993	Mm.321147	NM_023543	ENSMUSG00000004633	Chn2	1700026N20Rik|4930557O16Rik|ARHGAP3|Bch	chimerin 2	protein-coding
chr13-36820	chr13	32960559	33011125	+	907.2	2.036	Intergenic	Intergenic	-18699	NM_009256	20723	Mm.272569	NM_009256	ENSMUSG00000045827	Serpinb9	BB283241|CAP-3|CAP3|PI-9|PI9|Spi6|ovalbumin	serine (or cysteine) peptidase inhibitor, clade B, member 9	protein-coding
chr5-35813	chr5	62737763	62826259	+	906.3	2.354	Intergenic	B1_Mus1|SINE|Alu	-15834	NM_178407	212285	Mm.244403	NM_178407	ENSMUSG00000037999	Arap2	Centd1|Gm148|mKIAA0580	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2	protein-coding
chr5-45600	chr5	118559650	118718075	+	903.7	2.245	intron (NM_172424, intron 2 of 30)	intron (NM_172424, intron 2 of 30)	78143	NM_172424	76199	Mm.206238	NM_172424	ENSMUSG00000018076	Med13l	2210413I17Rik|6330591G05Rik|9030618F05Rik|Thrap2|Trap240L|mKIAA1025	mediator complex subunit 13-like	protein-coding
chr17-30551	chr17	28407251	28525321	+	902.7	2.110	intron (NM_010220, intron 1 of 10)	intron (NM_010220, intron 1 of 10)	19863	NM_010220	14229	Mm.276405	NM_010220	ENSMUSG00000024222	Fkbp5	D17Ertd592e|Dit1|FKBP-5|FKBP51	FK506 binding protein 5	protein-coding
chr4-35993	chr4	46524154	46618801	+	902.5	2.977	intron (NM_001164804, intron 1 of 11)	Lx9|LINE|L1	-5037	NM_178893	107684	Mm.416311	NM_178893	ENSMUSG00000028337	Coro2a	9030208C03Rik|AI563590|IR10	coronin, actin binding protein 2A	protein-coding
chr16-34001	chr16	94568494	94660634	+	901.8	3.148	intron (NM_007890, intron 2 of 11)	intron (NM_007890, intron 2 of 11)	43657	NM_001113389	13548	Mm.310973	NM_007890	ENSMUSG00000022897	Dyrk1a	2310043O08Rik|D16Ertd272e|D16Ertd493e|Dyrk|ENSMUSG00000074897|Gm10783|Mnbh|Mp86|mmb	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1a	protein-coding
chr7-33920	chr7	104277954	104318459	+	900.3	3.177	Intergenic	Intergenic	-16825	NR_040749	622070	Mm.486406	NR_040749	ENSMUSG00000087175	Gm15133	OTTMUSG00000019186	predicted gene 15133	ncRNA
chr3-10934	chr3	89163895	89251753	+	898.9	2.737	exon (NM_001077411, exon 9 of 11)	exon (NM_001077411, exon 9 of 11)	4899	NM_008094	14466	Mm.5031	NM_008094	ENSMUSG00000028048	Gba	GBA1|GC|GCase|GLUC|betaGC	glucosidase, beta, acid	protein-coding
chr4-52452	chr4	154898023	154968399	+	898.4	2.683	Intergenic	Intergenic	-5134	NM_178931	230979	Mm.215147	NM_178931	ENSMUSG00000042333	Tnfrsf14	Atar|HveA|Hvem|Tnfrs14	tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)	protein-coding
chr7-49828	chr7	128348497	128418607	+	893.6	3.949	intron (NM_026418, intron 4 of 4)	intron (NM_026418, intron 4 of 4)	34620	NM_026418	67865	Mm.18635	NM_026418	ENSMUSG00000030844	Rgs10	2310010N19Rik	regulator of G-protein signalling 10	protein-coding
chr6-35450	chr6	91656467	91757738	+	892.3	4.329	intron (NM_009320, intron 2 of 14)	intron (NM_009320, intron 2 of 14)	23035	NM_009320	21366	Mm.395650	NM_009320	ENSMUSG00000030096	Slc6a6	AA589629|C80501|Taut	solute carrier family 6 (neurotransmitter transporter, taurine), member 6	protein-coding
chr6-53576	chr6	124878803	124940299	+	891.2	4.607	intron (NM_008479, intron 3 of 7)	intron (NM_008479, intron 3 of 7)	2154	NM_008479	16768	Mm.4528	NM_008479	ENSMUSG00000030124	Lag3	CD223|LAG-3|Ly66	lymphocyte-activation gene 3	protein-coding
chr1-44414	chr1	173405519	173494295	+	890.7	4.394	intron (NM_001013779, intron 2 of 8)	intron (NM_001013779, intron 2 of 8)	29303	NM_001013779	383619	Mm.131453	NM_001013779	ENSMUSG00000037860	Aim2	Gm1313|Ifi210	absent in melanoma 2	protein-coding
chr8-39915	chr8	88271994	88344433	+	890.0	4.460	intron (NM_001037723, intron 4 of 27)	intron (NM_001037723, intron 4 of 27)	14009	NM_001037724	11513	Mm.288206	NM_007406	ENSMUSG00000031659	Adcy7	AA407758	adenylate cyclase 7	protein-coding
chr10-56483	chr10	67025585	67145974	+	883.7	3.631	intron (NM_001204915, intron 1 of 8)	intron (NM_001204915, intron 1 of 8)	11209	NM_178606	28193	Mm.41272	NM_178606	ENSMUSG00000019873	Reep3	D10Ucla1	receptor accessory protein 3	protein-coding
chr5-56692	chr5	113812644	113844875	+	881.3	3.561	intron (NM_009151, intron 1 of 1)	ID_B1|SINE|B4	1742	NM_009151	20345	Mm.332590	NM_009151	ENSMUSG00000048163	Selplg	CD162|Psgl-1|Psgl1|Selp1|Selpl	selectin, platelet (p-selectin) ligand	protein-coding
chr2-70524	chr2	118478580	118572365	+	878.5	3.516	Intergenic	RMER1B|Other|Other	24206	NM_138313	171543	Mm.210125	NM_138313	ENSMUSG00000040093	Bmf	AW260063|AW411872	BCL2 modifying factor	protein-coding
chr11-54745	chr11	48816090	48883215	+	878.1	3.852	exon (NM_053166, exon 7 of 7)	exon (NM_053166, exon 7 of 7)	21694	NM_008326	15944	Mm.29938	NM_008326	ENSMUSG00000046879	Irgm1	Ifggd3|Ifi1|Iigp3|Iipg3|Irgm|LRG-47	immunity-related GTPase family M member 1	protein-coding
chr11-62720	chr11	97083522	97153009	+	877.2	3.854	Intergenic	Intergenic	-2934	NM_019507	57765	Mm.94519	NM_019507	ENSMUSG00000001444	Tbx21	TBT1|Tbet|Tblym	T-box 21	protein-coding
chr1-65261	chr1	164044542	164098808	+	876.4	2.572	intron (NM_011346, intron 6 of 8)	intron (NM_011346, intron 6 of 8)	9599	NM_011346	20343	Mm.1461	NM_011346	ENSMUSG00000026581	Sell	AI528707|CD62L|L-selectin|LECAM-1|Lnhr|Ly-22|Ly-m22|Lyam-1|Lyam1	selectin, lymphocyte	protein-coding
chr18-8662	chr18	32938367	33007194	+	875.4	2.099	intron (NM_009793, intron 1 of 10)	intron (NM_009793, intron 1 of 10)	33739	NM_009793	12326	Mm.222329	NM_009793	ENSMUSG00000038128	Camk4	A430110E23Rik|AI666733|CaMKIV|CaMKIV/Gr|D18Bwg0362e	calcium/calmodulin-dependent protein kinase IV	protein-coding
chr3-20109	chr3	152905861	152970355	+	874.6	1.512	intron (NM_012028, intron 2 of 4)	intron (NM_012028, intron 2 of 4)	44099	NM_012028	26938	Mm.40915	NM_012028		St6galnac5	AI851940|Siat7e	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5	protein-coding
chr3-27160	chr3	108820013	108922908	+	872.5	1.473	intron (NM_177091, intron 6 of 12)	(TC)n|Simple_repeat|Simple_repeat	18548	NM_001165965	320181	Mm.244233	NM_177091	ENSMUSG00000045326	Fndc7	E230011A21Rik	fibronectin type III domain containing 7	protein-coding
chr16-9855	chr16	78518787	78606539	+	871.7	1.392	intron (NR_040569, intron 2 of 2)	B1F|SINE|Alu	2347	NR_040569	75818	Mm.410817	NR_040569		4930478L05Rik	-	RIKEN cDNA 4930478L05 gene	ncRNA
chr5-45988	chr5	124162843	124250324	+	871.6	1.864	intron (NM_011256, intron 2 of 24)	intron (NM_011256, intron 2 of 24)	-19401	NM_001289472	19679	Mm.44261	NM_011256	ENSMUSG00000029406	Pitpnm2	NIR3|RDGBA2|Rdgb2|mKIAA1457	phosphatidylinositol transfer protein, membrane-associated 2	protein-coding
chr12-7619	chr12	85416280	85497715	+	871.4	1.951	Intergenic	Intergenic	-16904	NM_010234	14281	Mm.246513	NM_010234	ENSMUSG00000021250	Fos	D12Rfj1|c-fos|cFos	FBJ osteosarcoma oncogene	protein-coding
chr7-50606	chr7	15985260	16057775	+	871.3	2.243	Intergenic	RMER15|LTR|ERVL	-22022	NM_001081418	243842	Mm.440249	NM_001081418	ENSMUSG00000070808	Gltscr1	-	glioma tumor suppressor candidate region gene 1	protein-coding
chr11-25541	chr11	75530567	75598712	+	871.1	1.889	intron (NM_001199284, intron 9 of 13)	intron (NM_001199284, intron 9 of 13)	13210	NR_039553	100628624		NR_039553		Mir3971	mmu-mir-3971|mu-mir-3971	microRNA 3971	ncRNA
