PeakID (cmd=annotatePeaks.pl /data/mm10/CD4/ChIP/H3K27Ac/AND-CD4TCell-H3K27Ac-1uM-24h-MNase-All-Conditions/regions.txt mm10 -size given -d AND-CD4TCell-H3K27Ac-1uM-K99A-24h-MNase-Combined AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	1uM K99A	1uM PCC	No Peptide
chr11-13245	chr11	101441908	101443448	+	44.6	44.376999999999995	intron (NM_011289, intron 1 of 4)	CpG	433.0	NM_011289	19942.0	Mm.340658	NM_011289	ENSMUSG00000063316	Rpl27	-	ribosomal protein L27	protein-coding	43.64	60.5	30.16
chr1-51032	chr1	80338830	80340278	+	44.6	45.857	intron (NM_016716, intron 1 of 15)	intron (NM_016716, intron 1 of 15)	876.0	NM_016716	26554.0	Mm.12665	NM_016716	ENSMUSG00000004364	Cul3	AI467304|AW146203|mKIAA0617	cullin 3	protein-coding	42.26	62.01	27.85
chr13-1839	chr13	91169124	91170080	+	44.5	60.817	intron (NM_025770, intron 2 of 7)	intron (NM_025770, intron 2 of 7)	54385.0	NM_025770	66795.0	Mm.235385	NM_025770	ENSMUSG00000021619	Atg10	5330424L23Rik|5430428K15Rik|AI852123|APG10|Agp10|Apg10l|Apg10p|Atg10l	autophagy related 10	protein-coding	41.06	54.69	26.39
chr13-16929	chr13	42052133	42053739	+	44.1	53.373000000000005	intron (NM_007772, intron 1 of 8)	intron (NM_007772, intron 1 of 8)	915.0	NM_007772	110521.0	Mm.4808	NM_007772	ENSMUSG00000021366	Hivep1	Cryabp1	human immunodeficiency virus type I enhancer binding protein 1	protein-coding	35.74	62.87	23.46
chr4-47138	chr4	141951749	141953603	+	44.0	36.34	intron (NM_177868, intron 12 of 31)	(TG)n|Simple_repeat|Simple_repeat	-30316.0	NR_040672	545691.0	Mm.332015	NR_040672	ENSMUSG00000085424	Fhad1os1	Gm13037|OTTMUSG00000010113	forkhead-associated (FHA) phosphopeptide binding domain 1, opposite strand 1	ncRNA	32.3	76.0	32.25
chr1-45198	chr1	38657081	38658475	+	43.9	48.79	Intergenic	Intergenic	-30534.0	NM_001290814	16764.0	Mm.336679	NM_010678	ENSMUSG00000037138	Aff3	3222402O04Rik|A730046J16|LAF-4|Laf4	AF4/FMR2 family, member 3	protein-coding	39.86	63.94	27.23
chr19-1556	chr19	6296281	6297263	+	43.9	38.257	intron (NM_010119, intron 3 of 4)	intron (NM_010119, intron 3 of 4)	-9685.0	NM_001033342	240505.0	Mm.329622	NM_001033342	ENSMUSG00000024769	Cdc42bpg	BC046418|MRCKgamma	CDC42 binding protein kinase gamma (DMPK-like)	protein-coding	32.3	63.08	28.48
chr4-3863	chr4	44065441	44066327	+	43.9	115.73	intron (NM_001190414, intron 2 of 11)	intron (NM_001190414, intron 2 of 11)	6789.0	NM_001190414	50798.0	Mm.256718	NM_015828	ENSMUSG00000028479	Gne	2310066H07Rik|DMRV|GLCNE|IBM2|NM|Uae1	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase	protein-coding	33.33	75.35	25.34
chr18-1447	chr18	70631892	70633488	+	43.8	41.67	Intergenic	Intergenic	64398.0	NM_010773	17191.0	Mm.322	NM_010773	ENSMUSG00000024513	Mbd2	MBD2a	methyl-CpG binding domain protein 2	protein-coding	25.6	76.43	25.34
chr4-15957	chr4	40776889	40778577	+	43.8	24.13	Intergenic	Intergenic	-19848.0	NM_021535	74255.0	Mm.289929	NM_021535	0	Smu1	2600001O03Rik|2610203K23Rik|AB044414|AI845086|AW556129|Bwd	smu-1 suppressor of mec-8 and unc-52 homolog (C. elegans)	protein-coding	35.22	74.92	27.02
chr13-18416	chr13	63567378	63568822	+	43.7	98.93299999999999	Intergenic	CpG	-2580.0	NM_008957	19206.0	Mm.228798	NM_008957	ENSMUSG00000021466	Ptch1	A230106A15Rik|Ptc|Ptc1|Ptch|mes	patched homolog 1	protein-coding	44.33	63.51	26.6
chr13-4941	chr13	117260207	117261735	+	43.6	30.96	intron (NM_010330, intron 4 of 8)	intron (NM_010330, intron 4 of 8)	40398.0	NM_010330	13723.0	Mm.274926	NM_010330	ENSMUSG00000021728	Emb	AL022799|Gp70	embigin	protein-coding	35.56	66.31	30.58
chr14-1939	chr14	7818267	7819289	+	43.4	39.68	intron (NM_001081427, intron 1 of 45)	CpG	821.0	NM_134080	286940.0	Mm.489652	NM_134080	ENSMUSG00000025278	Flnb	AL024016|Fln-b	filamin, beta	protein-coding	37.97	58.13	28.06
chr6-4664	chr6	134342256	134343706	+	43.2	33.6	Intergenic	L1ME3Cz|LINE|L1	-53348.0	NM_025778	66813.0	Mm.474472	NM_025778	ENSMUSG00000030200	Bcl2l14	4930452K23Rik|4933405K19Rik|9030625M01Rik|AI429211|Bclg	BCL2-like 14 (apoptosis facilitator)	protein-coding	30.75	66.1	25.13
chr8-38327	chr8	117283908	117285148	+	43.2	42.467	intron (NM_001163262, intron 1 of 20)	intron (NM_001163262, intron 1 of 20)	27509.0	NM_001163262	74440.0	Mm.233181	NM_028941	ENSMUSG00000034390	Cmip	4933407C03Rik|5830471E12Rik|AI314065|AI464126	c-Maf inducing protein	protein-coding	30.24	67.82	26.81
chr9-16958	chr9	66510556	66512140	+	43.2	53.083	3' UTR (NM_175206, exon 2 of 2)	3' UTR (NM_175206, exon 2 of 2)	3245.0	NM_175206	74165.0	Mm.297998	NM_175206	ENSMUSG00000050503	Fbxl22	1110004B15Rik	F-box and leucine-rich repeat protein 22	protein-coding	39.0	60.93	25.97
chr16-25750	chr16	49943103	49944695	+	43.1	61.107	Intergenic	Intergenic	-36561.0	NR_045001	628951.0	Mm.428032	NR_045001	0	Gm6936	-	predicted gene 6936	ncRNA	32.99	74.49	23.87
chr11-40034	chr11	116438752	116440182	+	42.9	24.92	TTS (NM_176902)	TTS (NM_176902)	5254.0	NR_003376	664849.0	Mm.258466	NR_003376	0	Gm7367	EG664849	1110014K08Rik pseudogene	pseudo	35.56	63.08	21.78
chr16-14890	chr16	51806701	51808379	+	42.5	55.007	Intergenic	Intergenic	-224009.0	NM_001033238	208650.0	Mm.328206	NM_001033238	ENSMUSG00000022637	Cblb	AI429560|AI851073|Cbl-b	Casitas B-lineage lymphoma b	protein-coding	39.17	54.47	25.97
chr10-29500	chr10	88404907	88406861	+	42.5	30.11	intron (NM_001004164, intron 2 of 20)	intron (NM_001004164, intron 2 of 20)	26472.0	NM_001004164	432486.0	Mm.335190	NM_001004164	ENSMUSG00000035311	Gnptab	EG432486|mKIAA1208	N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits	protein-coding	36.94	63.51	29.53
chr2-20163	chr2	75981304	75982226	+	42.4	152.593	5' UTR (NM_030188, exon 1 of 1)	5' UTR (NM_030188, exon 1 of 1)	202.0	NM_030188	78802.0	Mm.282339	NM_030188	ENSMUSG00000075271	Ttc30a1	4930506L13Rik	tetratricopeptide repeat domain 30A1	protein-coding	41.41	59.42	25.34
chr4-86159	chr4	109280274	109282134	+	42.3	53.27	intron (NM_007943, intron 1 of 24)	intron (NM_007943, intron 1 of 24)	929.0	NM_007943	13858.0	Mm.318250	NM_007943	ENSMUSG00000028552	Eps15	2410112D09Rik	epidermal growth factor receptor pathway substrate 15	protein-coding	35.91	58.35	27.64
chr1-2662	chr1	54896459	54897711	+	42.2	26.203000000000003	intron (NM_001081433, intron 1 of 27)	intron (NM_001081433, intron 1 of 27)	29302.0	NM_001081433	329154.0	Mm.397910	NM_001081433	ENSMUSG00000052331	Ankrd44	4930444A19Rik|A130096K20|E130014H08Rik|PP6-ARS-B	ankyrin repeat domain 44	protein-coding	43.98	68.25	31.0
chr1-24388	chr1	167283511	167284961	+	42.1	37.573	intron (NM_030724, intron 1 of 6)	CpG	891.0	NM_030724	80914.0	Mm.280895	NM_030724	ENSMUSG00000026558	Uck2	AA407809|AI481316|AU018180|AU020720|TSA903|UK|UMK|Umpk	uridine-cytidine kinase 2	protein-coding	32.3	54.69	26.39
chr7-7627	chr7	45591363	45592809	+	42.1	27.686999999999998	Intergenic	RLTR49|LTR|ERVK	-16910.0	NR_038166	71661.0	Mm.439894	NR_038165	ENSMUSG00000085214	0610005C13Rik	AI182092	RIKEN cDNA 0610005C13 gene	ncRNA	39.52	55.98	26.6
chr7-16653	chr7	123108085	123109143	+	41.9	69.75	Intergenic	MIR|SINE|MIR	-15271.0	NM_144925	233833.0	Mm.102305	NM_144925	ENSMUSG00000052707	Tnrc6a	2010321I05Rik|3110054G10Rik|AW557223|CAGH26|D130023A07Rik|GW182|Tnrc6	trinucleotide repeat containing 6a	protein-coding	25.43	82.24	16.54
chr6-22179	chr6	82912937	82914095	+	41.5	51.13	exon (NM_011350, exon 14 of 14)	exon (NM_011350, exon 14 of 14)	26234.0	NM_011350	20355.0	Mm.270543	NM_011350	ENSMUSG00000000627	Sema4f	-	sema domain, immunoglobulin domain (Ig), TM domain, and short cytoplasmic domain	protein-coding	37.11	63.51	29.95
chr3-3334	chr3	146192008	146192886	+	41.1	59.023	intron (NM_001005846, intron 13 of 13)	intron (NM_001005846, intron 13 of 13)	-28514.0	NM_022983	65086.0	Mm.155520	NM_022983	ENSMUSG00000036832	Lpar3	Edg7|lpA3	lysophosphatidic acid receptor 3	protein-coding	30.93	64.59	30.16
chr4-1736	chr4	47251156	47252090	+	41.0	102.37299999999999	intron (NM_009928, intron 5 of 39)	intron (NM_009928, intron 5 of 39)	43611.0	NM_009928	12819.0	Mm.233547	NM_009928	ENSMUSG00000028339	Col15a1	-	collagen, type XV, alpha 1	protein-coding	32.47	79.66	20.94
chr5-3832	chr5	54097978	54098856	+	40.8	55.917	intron (NM_001081103, intron 3 of 11)	intron (NM_001081103, intron 3 of 11)	99894.0	NM_001081103	116873.0	Mm.265985	NM_054083	ENSMUSG00000039156	Stim2	-	stromal interaction molecule 2	protein-coding	37.28	76.65	27.43
chr18-3483	chr18	32146989	32148295	+	40.7	115.14	Intergenic	Intergenic	-8072.0	NM_001042767	19123.0	Mm.2786	NM_008934	ENSMUSG00000024386	Proc	PC	protein C	protein-coding	33.16	61.79	28.06
chr4-111379	chr4	134912611	134914673	+	40.5	47.533	intron (NM_027935, intron 1 of 6)	B2_Mm2|SINE|B2	1274.0	NM_027935	71817.0	Mm.88349	NM_027935	ENSMUSG00000028822	Tmem50a	3200001F09Rik|CAM|Smp1	transmembrane protein 50A	protein-coding	35.22	50.6	24.29
chr4-47402	chr4	32422734	32424448	+	40.4	23.6	intron (NM_001109661, intron 1 of 4)	intron (NM_001109661, intron 1 of 4)	6156.0	NM_001109661	12014.0	Mm.491223	NM_007521	ENSMUSG00000040270	Bach2	E030004N02Rik	BTB and CNC homology 2	protein-coding	38.14	72.34	26.18
chr2-12584	chr2	3799317	3800223	+	40.4	65.467	Intergenic	Intergenic	86312.0	NM_025626	66540.0	Mm.277864	NM_025626	ENSMUSG00000026655	Fam107b	3110001A13Rik|AA589595|AA959793|AI132312	family with sequence similarity 107, member B	protein-coding	43.3	55.33	26.81
chr7-1332	chr7	31167992	31169122	+	40.2	53.413000000000004	intron (NR_046062, intron 3 of 3)	intron (NR_046062, intron 3 of 3)	6199.0	NR_046062	100038516.0	Mm.387223	NR_046062	0	Gm10640	EG668322|ENSMUSG00000074193	predicted gene 10640	ncRNA	46.9	69.54	29.74
chr7-3121	chr7	125190011	125191199	+	40.2	45.287	Intergenic	MLTR18B_MM|LTR|ERVK	159181.0	NR_045803	71208.0	Mm.159465	NM_172408	0	4933440M02Rik	-	RIKEN cDNA 4933440M02 gene	ncRNA	41.23	55.98	24.29
chr15-71890	chr15	66899145	66900479	+	39.9	48.016999999999996	intron (NM_018865, intron 1 of 4)	intron (NM_018865, intron 1 of 4)	8419.0	NM_018865	22402.0	Mm.10222	NM_018865	ENSMUSG00000005124	Wisp1	AW146261|CCN4|Elm1	WNT1 inducible signaling pathway protein 1	protein-coding	29.21	69.54	25.97
chr9-33390	chr9	118082192	118083160	+	39.9	29.97	intron (NM_026442, intron 2 of 3)	intron (NM_026442, intron 2 of 3)	42154.0	NM_001048146	27215.0	Mm.92705	NM_013727	ENSMUSG00000039285	Azi2	AA410145|AZ2	5-azacytidine induced gene 2	protein-coding	30.24	55.33	24.08
chr3-24357	chr3	37283049	37284339	+	39.9	20.04	Intergenic	Intergenic	28752.0	NM_145825	207175.0	Mm.344708	NM_145825	ENSMUSG00000045031	Cetn4	-	centrin 4	protein-coding	23.71	75.57	24.29
chr4-23067	chr4	59782517	59783753	+	39.6	29.006999999999998	intron (NM_001013577, intron 1 of 4)	intron (NM_001013577, intron 1 of 4)	720.0	NM_001013577	66209.0	Mm.51988	NM_001013577	ENSMUSG00000038544	Inip	1110054O05Rik|2610312O17Rik|AA399876|Ssbip1	INTS3 and NABP interacting protein	protein-coding	36.42	54.26	25.76
chr8-1935	chr8	35592008	35592940	+	39.4	47.173	intron (NM_001081279, intron 1 of 2)	L1MC1|LINE|L1	-3454.0	NR_040376	100504714.0	Mm.381744	NR_040376	ENSMUSG00000097357	Gm16793	-	predicted gene, 16793	ncRNA	30.93	54.26	23.25
chr14-18025	chr14	121822555	121823811	+	39.3	42.06	Intergenic	Intergenic	-25449.0	NM_134074	105445.0	Mm.441054	NM_134074	ENSMUSG00000025558	Dock9	AA959601|AW538057|B230309H04Rik|D14Wsu89e|Zizimin1|mKIAA1058	dedicator of cytokinesis 9	protein-coding	35.56	75.14	25.13
chr17-4887	chr17	83731731	83732793	+	39.2	31.4	intron (NM_054082, intron 3 of 16)	intron (NM_054082, intron 3 of 16)	26099.0	NM_054082	116871.0	Mm.277668	NM_054082	ENSMUSG00000055817	Mta3	1110002J22Rik|mKIAA1266	metastasis associated 3	protein-coding	32.99	46.72	21.36
chr7-11897	chr7	73551919	73554303	+	38.8	21.723000000000003	intron (NR_037569, intron 3 of 4)	intron (NR_037569, intron 3 of 4)	5284.0	NR_037569	69170.0	Mm.34539	NR_037569	0	1810026B05Rik	-	RIKEN cDNA 1810026B05 gene	ncRNA	35.91	57.05	27.85
chr10-3783	chr10	28694868	28696002	+	38.8	30.74	intron (NM_178666, intron 1 of 5)	L1MDa|LINE|L1	27040.0	NM_178666	210757.0	Mm.123021	NM_178666	ENSMUSG00000049109	Themis	A430108D01|BB160712|E430004N04Rik|Gasp|Tsepa|thylex	thymocyte selection associated	protein-coding	34.88	57.05	24.92
chr16-8848	chr16	92059129	92060255	+	38.7	32.77	intron (NM_080456, intron 1 of 2)	intron (NM_080456, intron 1 of 2)	1356.0	NM_080456	121022.0	Mm.217354	NM_080456	ENSMUSG00000039680	Mrps6	AW046321	mitochondrial ribosomal protein S6	protein-coding	30.58	63.3	25.76
chrX-96	chrX	57304264	57305624	+	38.7	36.363	intron (NM_152801, intron 2 of 21)	intron (NM_152801, intron 2 of 21)	33785.0	NM_152801	73341.0	Mm.261443	NM_152801	ENSMUSG00000031133	Arhgef6	1600028C08Rik|1700038J06Rik|4930592P22Rik|alpha-PIX	Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6	protein-coding	32.13	48.01	23.87
chr6-56781	chr6	97315132	97316946	+	38.6	22.703000000000003	intron (NM_145148, intron 12 of 23)	intron (NM_145148, intron 12 of 23)	-63259.0	NM_001081157	320502.0	Mm.68163	NM_001081157	ENSMUSG00000044086	Lmod3	5430424A14Rik	leiomodin 3 (fetal)	protein-coding	26.8	85.26	21.99
chr3-46226	chr3	37680322	37681590	+	38.5	30.2	Intergenic	B4|SINE|B4	41006.0	NM_011896	24063.0	Mm.330986	NM_011896	ENSMUSG00000037211	Spry1	sprouty1	sprouty homolog 1 (Drosophila)	protein-coding	12.71	97.96	8.59
chr2-476	chr2	38988096	38988720	+	38.5	69.67	Intergenic	Intergenic	-9901.0	NM_029687	76646.0	Mm.358777	NM_029687	ENSMUSG00000035295	Wdr38	1700123D08Rik	WD repeat domain 38	protein-coding	33.67	53.39	22.41
chr2-8942	chr2	93427102	93428110	+	38.2	31.27	intron (NM_007656, intron 6 of 9)	intron (NM_007656, intron 6 of 9)	-5599.0	NR_105967	102465605.0	0	NR_105967	0	Mir7001	mmu-mir-7001	microRNA mir-7001	ncRNA	31.96	50.81	24.5
chr4-3441	chr4	32425225	32426421	+	37.9	24.273000000000003	intron (NM_001109661, intron 1 of 4)	intron (NM_001109661, intron 1 of 4)	8388.0	NM_001109661	12014.0	Mm.491223	NM_007521	ENSMUSG00000040270	Bach2	E030004N02Rik	BTB and CNC homology 2	protein-coding	28.69	63.73	19.69
chr13-18389	chr13	54071317	54072609	+	37.8	32.913000000000004	intron (NM_027324, intron 1 of 10)	CpG	118.0	NM_027324	14057.0	Mm.134191	NM_027324	ENSMUSG00000021474	Sfxn1	2810002O05Rik|A930015P12Rik|f	sideroflexin 1	protein-coding	23.88	43.06	19.27
chr8-22112	chr8	61275864	61277520	+	37.7	30.99	intron (NM_021506, intron 2 of 11)	intron (NM_021506, intron 2 of 11)	12180.0	NR_045475	69279.0	Mm.417857	NR_045475	0	1700001D01Rik	-	RIKEN cDNA 1700001D01 gene	ncRNA	29.89	62.87	27.43
chr9-6167	chr9	66713485	66714507	+	37.7	46.31	intron (NM_178396, intron 1 of 10)	intron (NM_178396, intron 1 of 10)	310.0	NM_178396	76459.0	Mm.277921	NM_178396	ENSMUSG00000032373	Car12	2310047E01Rik|AI314958|Ca12	carbonic anyhydrase 12	protein-coding	31.44	58.99	24.08
chr3-1988	chr3	89879642	89880946	+	37.6	31.54	intron (NM_010559, intron 6 of 9)	intron (NM_010559, intron 6 of 9)	32868.0	NM_010559	16194.0	Mm.2856	NM_010559	ENSMUSG00000027947	Il6ra	CD126|IL-6R|Il6r	interleukin 6 receptor, alpha	protein-coding	29.21	50.81	24.92
chr2-67161	chr2	9586733	9588543	+	37.5	24.796999999999997	Intergenic	Intergenic	290962.0	NM_008091	14462.0	Mm.313866	NM_008091	ENSMUSG00000015619	Gata3	Gata-3|jal	GATA binding protein 3	protein-coding	27.32	64.8	24.08
chr6-9311	chr6	83316534	83317880	+	37.5	52.027	intron (NM_008638, intron 1 of 7)	intron (NM_008638, intron 1 of 7)	397.0	NM_008638	17768.0	Mm.443	NM_008638	ENSMUSG00000005667	Mthfd2	AW558851|NMDMC	methylenetetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase	protein-coding	28.69	58.99	24.5
chr18-1010	chr18	37883162	37884312	+	37.5	97.323	intron (NM_007858, intron 16 of 26)	intron (NM_007858, intron 16 of 26)	-29077.0	NR_105945	102465592.0	0	NR_105945	0	Mir6979	mmu-mir-6979	microRNA mir-6979	ncRNA	35.05	59.21	24.71
chr8-17582	chr8	86855249	86856571	+	37.5	19.247	intron (NM_030563, intron 2 of 6)	intron (NM_030563, intron 2 of 6)	29348.0	NM_030563	80750.0	Mm.25117	NM_030563	ENSMUSG00000031652	N4bp1	AI481586|C81621	NEDD4 binding protein 1	protein-coding	31.1	63.51	23.87
chr1-9199	chr1	39024878	39025764	+	37.4	47.297	Intergenic	Intergenic	37507.0	NM_026850	68833.0	Mm.28121	NM_026850	ENSMUSG00000026078	Pdcl3	1110061A19Rik|C80025|Viaf1	phosducin-like 3	protein-coding	26.63	51.46	21.15
chr13-6069	chr13	36448156	36449772	+	37.3	29.093000000000004	intron (NM_001039189, intron 5 of 5)	intron (NM_001039189, intron 5 of 5)	285513.0	NM_153529	68404.0	Mm.232930	NM_153529	ENSMUSG00000039114	Nrn1	0710008J23Rik|Cpg15|Nrn	neuritin 1	protein-coding	34.7	57.05	23.25
chr1-20103	chr1	155107999	155109687	+	37.3	30.636999999999997	Intergenic	Intergenic	-9207.0	NM_010500	15939.0	Mm.12246	NM_010500	ENSMUSG00000056708	Ier5	-	immediate early response 5	protein-coding	29.89	55.33	23.04
chr18-34103	chr18	23913032	23914538	+	37.2	32.223	Intergenic	B4|SINE|B4	-40903.0	NM_027007	69256.0	Mm.218343	NM_027007	ENSMUSG00000024276	Zfp397	2810411K16Rik|6720480F11Rik|AI461664	zinc finger protein 397	protein-coding	25.08	72.56	18.01
chr9-7482	chr9	69319057	69320161	+	37.1	32.44	intron (NM_001289916, intron 1 of 9)	intron (NM_001289916, intron 1 of 9)	29768.0	NM_001289916	19883.0	Mm.378450	NM_013646	ENSMUSG00000032238	Rora	9530021D13Rik|Nr1f1|ROR1|ROR2|ROR3|nmf267|sg|staggerer|tmgc26	RAR-related orphan receptor alpha	protein-coding	20.96	55.98	19.48
chr7-6251	chr7	132797745	132798927	+	36.9	53.687	intron (NM_212473, intron 1 of 4)	intron (NM_212473, intron 1 of 4)	-11401.0	NM_175268	77938.0	Mm.225649	NM_175268	ENSMUSG00000030956	Fam53b	A930008G19Rik|mKIAA0140	family with sequence similarity 53, member B	protein-coding	36.08	49.52	24.5
chr10-13563	chr10	59429995	59431469	+	36.8	75.937	intron (NM_010959, intron 5 of 8)	intron (NM_010959, intron 5 of 8)	11047.0	NM_010959	18302.0	Mm.123013	NM_010959	ENSMUSG00000009654	Oit3	EF-9|LZP	oncoprotein induced transcript 3	protein-coding	30.41	56.84	22.83
chrX-2667	chrX	13207580	13208840	+	36.1	72.077	Intergenic	Intergenic	28073.0	NR_045430	72122.0	Mm.75434	NR_045429	0	2010308F09Rik	-	RIKEN cDNA 2010308F09 gene	ncRNA	33.67	51.46	24.08
chr5-812	chr5	117182533	117183293	+	36.0	40.613	intron (NM_001081308, intron 1 of 19)	intron (NM_001081308, intron 1 of 19)	49325.0	NM_183306	330177.0	Mm.24343	NM_183306	ENSMUSG00000061288	Taok3	2900006A08Rik|A130052D22|A430105I05Rik	TAO kinase 3	protein-coding	29.21	57.05	15.71
chr8-11188	chr8	34621806	34622950	+	35.8	49.357	intron (NR_040706, intron 1 of 4)	intron (NR_040706, intron 1 of 4)	17938.0	NR_040706	330734.0	Mm.149998	NR_040706	0	B930018H19Rik	B930018H19	RIKEN cDNA B930018H19 gene	ncRNA	29.38	53.18	21.36
chr15-2962	chr15	101180021	101180949	+	35.6	28.463	intron (NM_007395, intron 1 of 8)	MLT1E1A|LTR|ERVL-MaLR	6360.0	NM_007395	11479.0	Mm.308467	NM_007395	ENSMUSG00000000532	Acvr1b	6820432J04|ActR-IB|ActRIB|Acvrlk4|Alk4|SKR2	activin A receptor, type 1B	protein-coding	29.72	52.32	21.15
chr2-10096	chr2	28539385	28540275	+	35.6	33.943000000000005	intron (NM_001145836, intron 1 of 17)	intron (NM_001145836, intron 1 of 17)	6366.0	NM_001145836	19730.0	Mm.5236	NM_009058	ENSMUSG00000026821	Ralgds	Gnds|Rgds|mKIAA1308	ral guanine nucleotide dissociation stimulator	protein-coding	28.35	59.64	24.5
chr7-20211	chr7	137437746	137439248	+	35.5	14.703	intron (NR_033611, intron 1 of 10)	ID4_|SINE|ID	823.0	NR_033611	620016.0	Mm.388932	NR_033611	ENSMUSG00000049494	Gm12669	OTTMUSG00000007920	glutaredoxin 3 pseudogene	pseudo	29.21	55.12	25.34
chr4-2731	chr4	133843143	133844665	+	35.4	40.693000000000005	Intergenic	B1_Mus2|SINE|Alu	30827.0	NM_001285506	20111.0	Mm.301827	NM_009097	ENSMUSG00000003644	Rps6ka1	Mapkapk-1a|Rsk|Rsk-1|Rsk1|S6K-alpha-1|p90-Rsk1|p90Rsk1|p90S6K|p90rsk	ribosomal protein S6 kinase polypeptide 1	protein-coding	31.44	50.81	23.87
chr2-63560	chr2	126514525	126515917	+	35.3	48.387	Intergenic	Lx10|LINE|L1	-23668.0	NM_001080944	241633.0	Mm.222235	NM_001080944	ENSMUSG00000060131	Atp8b4	A530043E15|Im	ATPase, class I, type 8B, member 4	protein-coding	28.52	55.76	26.18
chr19-2896	chr19	11527713	11529509	+	35.2	15.22	exon (NM_027209, exon 6 of 7)	exon (NM_027209, exon 6 of 7)	-8238.0	NM_025658	66607.0	Mm.441056	NM_025658	ENSMUSG00000024678	Ms4a4d	2210417J23Rik	membrane-spanning 4-domains, subfamily A, member 4D	protein-coding	43.98	71.26	34.14
chr11-14200	chr11	108203015	108204795	+	35.2	22.703000000000003	intron (NM_011101, intron 2 of 16)	RSINE1|SINE|B4	139983.0	NM_011101	18750.0	Mm.222178	NM_011101	ENSMUSG00000050965	Prkca	AI875142|Pkca	protein kinase C, alpha	protein-coding	26.97	66.1	22.41
chr15-14271	chr15	50693753	50694767	+	35.2	18.46	intron (NM_032000, intron 4 of 5)	intron (NM_032000, intron 4 of 5)	194854.0	NR_035444	100316685.0	0	NR_035444	miRBase:MI0008325	Mir1907	Mirn1907|mmu-mir-1907	microRNA 1907	ncRNA	30.58	47.8	20.11
chr7-1421	chr7	131560128	131561136	+	35.2	65.54	intron (NM_009774, intron 1 of 7)	CpG	241.0	NM_009774	12237.0	Mm.927	NM_009774	ENSMUSG00000066979	Bub3	AU019800|AU021329|AU043350|AW146323|C78067	budding uninhibited by benzimidazoles 3 homolog (S. cerevisiae)	protein-coding	33.16	47.8	20.94
chrX-5740	chrX	95967403	95968747	+	35.2	44.876999999999995	Intergenic	Intergenic	-11101.0	NM_152822	76130.0	Mm.274318	NM_152822	ENSMUSG00000057421	Las1l	1810030A06Rik|5830482G23Rik	LAS1-like (S. cerevisiae)	protein-coding	26.97	55.98	24.5
chr12-63072	chr12	105018381	105020101	+	35.0	39.723	Intergenic	L1Md_F2|LINE|L1	-9432.0	NM_172500	212073.0	Mm.212688	NM_172500	ENSMUSG00000054150	Syne3	nesprin-3	spectrin repeat containing, nuclear envelope family member 3	protein-coding	36.08	55.98	26.6
chr16-8434	chr16	4558038	4559296	+	34.8	23.46	intron (NM_031182, intron 1 of 6)	CpG	1053.0	NM_031182	83383.0	Mm.273210	NM_031182	ENSMUSG00000005718	Tfap4	AI642933|AP-4|D930048N17Rik|Tcfap4|bHLHc41	transcription factor AP4	protein-coding	24.05	48.01	20.94
chr2-13082	chr2	4882734	4884184	+	34.8	36.86	intron (NM_175400, intron 1 of 8)	intron (NM_175400, intron 1 of 8)	1895.0	NM_175400	109079.0	Mm.34329	NM_175400	ENSMUSG00000026662	Sephs1	1110046B24Rik|AA589574|AI505014|AW111620|SELD|SPS|SPS1	selenophosphate synthetase 1	protein-coding	31.61	49.52	23.46
chr11-49375	chr11	70668230	70669392	+	34.8	30.523000000000003	TTS (NM_001190378)	TTS (NM_001190378)	605.0	NM_001167669	216873.0	Mm.432524	NM_172561	ENSMUSG00000018287	Spag7	5730443G10|ACRP|FSA-1|Fsa1l	sperm associated antigen 7	protein-coding	52.92	87.84	43.14
chr18-1654	chr18	12642848	12644468	+	34.8	22.283	5' UTR (NM_028341, exon 1 of 14)	5' UTR (NM_028341, exon 1 of 14)	125.0	NM_028341	72747.0	Mm.52526	NM_028341	ENSMUSG00000024424	Ttc39c	1700008N02Rik|2810439F02Rik	tetratricopeptide repeat domain 39C	protein-coding	28.35	53.82	25.13
chr12-21197	chr12	21084843	21087611	+	34.8	18.547	Intergenic	Intergenic	-25529.0	NM_001098168	211914.0	Mm.358946	NM_001004364	ENSMUSG00000052632	Asap2	6530401G17Rik|Ddef2|Gm1523|Gm592|PAG3|PAP	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2	protein-coding	22.33	52.96	12.36
